,FXAIX,SWPPX,VFINX,SPY
2020-07-13,109.43,48.75,291.34,314.84
2020-07-10,110.47,49.21,294.09,317.59
2020-07-09,109.82,48.7,291.05,314.38
2020-07-08,110.41,48.96,292.62,316.18
2020-07-07,109.55,48.58,290.34,313.78
2020-07-06,110.75,49.11,293.52,317.05
2020-07-02,109.02,48.34,288.93,312.23
2020-07-01,108.5,48.11,287.56,310.52
2020-06-30,107.95,47.87,286.12,308.36
2020-06-29,106.31,47.14,281.76,304.46
2020-06-26,104.76,46.45,277.65,300.05
2020-06-25,107.36,47.6,285.93,307.35
2020-06-24,106.19,47.08,282.81,304.09
2020-06-23,109.0,48.33,290.31,312.05
2020-06-22,108.54,48.13,289.07,310.62
2020-06-19,107.83,47.81,287.2,308.64
2020-06-18,108.43,48.08,288.78,311.78
2020-06-17,108.36,48.05,288.61,311.66
2020-06-16,108.75,48.22,289.65,312.96
2020-06-15,106.73,47.32,284.26,307.05
2020-06-12,105.84,46.93,281.9,304.21
2020-06-11,104.45,46.31,278.19,300.61
2020-06-10,110.98,49.21,295.58,319.0
2020-06-09,111.57,49.47,297.16,320.79
2020-06-08,112.44,49.86,299.47,323.2
2020-06-05,111.1,49.26,295.9,319.34
2020-06-04,108.26,48.0,288.34,311.36
2020-06-03,108.6,48.15,289.26,312.18
2020-06-02,107.13,47.5,285.33,308.08
2020-06-01,106.25,47.11,283.0,305.55
2020-05-29,105.85,46.93,281.94,304.32
2020-05-28,105.33,46.7,280.55,302.97
2020-05-27,105.54,46.8,281.1,303.53
2020-05-26,103.99,46.11,276.99,299.08
2020-05-22,102.73,45.55,273.62,295.44
2020-05-21,102.47,45.44,272.93,294.88
2020-05-20,103.27,45.79,275.05,296.93
2020-05-19,101.56,45.03,270.5,291.97
2020-05-18,102.62,45.5,273.34,295.0
2020-05-15,99.48,44.11,264.96,286.28
2020-05-14,99.08,43.93,263.9,284.97
2020-05-13,97.93,43.42,260.84,281.6
2020-05-12,99.66,44.19,265.45,286.67
2020-05-11,101.73,45.11,270.98,292.5
2020-05-08,101.72,45.1,270.94,292.44
2020-05-07,100.01,44.35,266.39,287.68
2020-05-06,98.84,43.82,263.26,284.25
2020-05-05,99.52,44.13,265.1,286.19
2020-05-04,98.63,43.73,262.72,283.57
2020-05-01,98.21,43.55,261.61,282.79
2020-04-30,101.04,44.8,269.14,290.48
2020-04-29,101.97,45.22,271.63,293.21
2020-04-28,99.33,44.04,264.59,285.73
2020-04-27,99.85,44.28,265.98,287.05
2020-04-24,98.4,43.63,262.12,282.97
2020-04-23,97.05,43.03,258.51,279.08
2020-04-22,97.09,43.05,258.64,279.1
2020-04-21,94.92,42.09,252.84,273.04
2020-04-20,97.92,43.42,260.83,281.59
2020-04-17,99.7,44.21,265.58,286.64
2020-04-16,97.09,43.05,258.64,279.1
2020-04-15,96.53,42.8,257.15,277.76
2020-04-14,98.7,43.77,262.92,283.79
2020-04-13,95.76,42.46,255.09,275.66
2020-04-09,96.74,42.89,257.69,278.2
2020-04-08,95.34,42.28,253.98,274.03
2020-04-07,92.7,40.87,245.55,265.13
2020-04-06,92.85,40.94,245.94,264.86
2020-04-03,86.75,38.25,229.79,248.19
2020-04-02,88.07,38.83,233.29,251.83
2020-04-01,86.09,37.96,228.04,246.15
2020-03-31,90.07,39.71,238.57,257.75
2020-03-30,91.52,40.35,242.43,261.65
2020-03-27,88.54,39.04,234.54,253.42
2020-03-26,91.63,40.4,242.71,261.2
2020-03-25,86.24,38.03,228.45,246.79
